0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:10:46 +0900] "GET /TP_web/main.html HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/storeChoice.html HTTP/1.1" 200 14168
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/js_OHT/jquery/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/js_OHT/bootstrap.min.js HTTP/1.1" 200 50682
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/js_OHT/plugins.js HTTP/1.1" 200 217178
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/style.css HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/core-style.css HTTP/1.1" 200 46654
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/js_OHT/popper.min.js HTTP/1.1" 200 19038
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/js_OHT/active.js HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/core-img/search.png HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/core-img/logo.png HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/core-img/cart.png HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/core-img/fish.png HTTP/1.1" 200 17681
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/bootstrap.min.css HTTP/1.1" 200 140427
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/owl.carousel.css HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/animate.css HTTP/1.1" 200 47646
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/magnific-popup.css HTTP/1.1" 200 5599
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/nice-select.css HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/jquery-ui.min.css HTTP/1.1" 200 17637
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/css_OHT/font-awesome.min.css HTTP/1.1" 200 31028
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/core-img/favorites.png HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/new-img/friedchicken.jpg HTTP/1.1" 200 73460
0:0:0:0:0:0:0:1 - - [24/Aug/2021:10:11:00 +0900] "GET /TP_web/img/new-img/hamburger2.jpg HTTP/1.1" 200 94930
